category,href,num_freelancers,date
Hochschullehrer Gesundheits- und Sozialbereich,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Hochschullehrer-Gesundheits-Und-Sozialbereich-Freelancer,6,2025-03-18
Lehrer an Technischer Berufsschule,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Lehrer-An-Technischer-Berufsschule-Freelancer,4,2025-03-18
Fachhochschullehrer,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Fachhochschullehrer-Freelancer,3,2025-03-18
Hochschullehrer Mathematik und Naturwissenschaften,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Hochschullehrer-Mathematik-Und-Naturwissenschaften-Freelancer,3,2025-03-18
"Universitätsdozenten Rechts-, Wirtschafts- und Sozialwissenschaften",/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Universit%C3%A4tsdozenten-Rechts-Wirtschafts-Und-Sozialwissenschaften-Freelancer,2,2025-03-18
Universitätsdozenten Ingenieurwesen/Ingenieurwissenschaft,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Universit%C3%A4tsdozenten-Ingenieurwesen-ingenieurwissenschaft-Freelancer,2,2025-03-18
Berufsschullehrer,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Berufsschullehrer-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Einkauf und Lagerhaltung,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer,8105,2025-03-18
Logistik / Supply-Chain-Management,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Supply-Chain-Management-Freelancer,2772,2025-03-18
Käufer / Beschaffer,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Einkauf-Freelancer,2687,2025-03-18
Handel / E-Commerce,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Handel-E-Commerce-Freelancer,2654,2025-03-18
Lieferantenmanagement,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Lieferantenmanagement-Freelancer,1265,2025-03-18
